code,job description,label
1398,Managing a caseload of graduates,Response B
1398,"Providing support, advice, and information to graduates, including workshops and one-on-one sessions",Response B
1398,Tracking and reporting on graduate progression,Response B
1398,Engaging with students regarding their well-being and career development,Response B
1368,Providing leadership and ensuring compliance with academic regulations,Response B
1368,Leading student casework functions related to appeals and misconduct,Response B
1368,Ensuring equitable treatment and adherence to university standards in academic matters,Response B
1352,Leading and managing teams responsible for student placements and career guidance,Response B
1352,Ensuring that placement activities are compliant with health and safety standards,Response B
1352,Overseeing the professional development of staff within the Careers and Placements division,Response B
1405,Managing and supervising grounds staff,Response B
1405,Ensuring health and safety compliance,Response B
1405,Overseeing the training and well-being of the grounds team,Response B
1357,Leading the development of health and safety policies,Response A
1357,Ensuring occupational health and well-being support is in place,Response A
1357,Providing guidance and support to staff and students related to health and safety issues,Response A
1373,Managing the well-being and professional development of the Management Accounts team,Response B
1373,Supporting staff with financial planning and budgeting responsibilities,Response B
1454,Leading the marketing team and ensuring their professional development,Response B
1454,"Overseeing the health, safety, and well-being compliance within the marketing department",Response B
1399,"Managing the procurement team, ensuring their professional growth and well-being",Response B
1399,"Ensuring compliance with health, safety, and welfare policies",Response B
1334,Leading and supporting staff in student assessment roles,Response B
1334,Ensuring that assessment processes are fair and support student welfare,Response B
1414,Supporting employees with disabilities by implementing reasonable adjustments,Response A
1414,Providing guidance and support to managers and supervisors on accessibility,Response A
1414,Conducting assessments and providing resources to create an inclusive work environment,Response B
1436,"Liaising with students, staff, and external program providers regarding program administration",Response B
1436,Ensuring compliance with program requirements and providing up-to-date information to students,Response B
1436,Providing support during key events like open days and induction,Response B
1387,"Acting as the main point of contact for the Academic Partnership Unit (APU), dealing with enquiries from staff, partner staff, and partner students",Response B
1387,Providing administrative support and ensuring effective communication with all stakeholders,Response B
1458,"Ensuring the safety and well-being of all staff, students, and visitors at the City Campus",Response A
1458,Managing health and safety policies and ensuring compliance with regulations,Response A
1458,Providing support and leadership to estates and facilities staff,Response A
1426,"Providing holistic careers advice and guidance to students, learners, apprentices, and graduates",Response A
1426,Ensuring students are well-supported in their career planning and decision-making processes,Response A
1456,"Managing and developing library services, including supporting students and staff",Response B
1456,Providing training and development opportunities for library staff,Response B
1456,Ensuring the library environment is conducive to study and well-being,Response B
1428,Ensuring that construction sites are safe and comply with health and safety regulations,Response B
1428,Reporting any health and safety issues and ensuring that all work meets required standards,Response B
1388,Providing administrative support to the Executive Director of People and Culture,Response B
1388,Handling sensitive and confidential information with discretion,Response B
1388,Supporting the well-being of staff through effective administrative support,Response B
1370,Building and leading relationships with budget holders,Response B
1370,Providing financial guidance and support to staff across the University,Response B
1374,Ensuring compliance with health and safety regulations,Response B
1374,Identifying hazards and defects to ensure safety on campus,Response B
1374,Providing support and guidance to contractors involved in Fire door campus works,Response B
1391,Advising on accessibility in web development and ensuring compliance with accessibility legislation,Response B
1391,"Managing and supporting the Front-End Web Developer, providing training and guidance",Response B
1350,"Providing advice, guidance, and training to academic staff, support staff, and Student Ambassadors",Response B
1350,Ensuring the well-being and safety of attendees during recruitment events,Response B
1397,Supporting apprentices and employers by ensuring smooth operations and compliance with standards,Response B
1397,"Responding to inquiries from apprentices and work-based learners, providing guidance and support",Response B
1344,Designing and delivering workshops and presentations aimed at widening participation,Response A
1344,"Providing advice and guidance to academic staff, support staff, and Student Ambassadors",Response A
1344,"Coordinating work with care leavers, acting as the Single Point of Contact",Response A
1354,"Providing a customer-friendly service for campus residents, ensuring their needs are met",Response B
1354,"Complying with health, safety, and well-being policies, promoting the welfare of others",Response B
1415,"Responding to security issues and alarms, ensuring safety on campus",Response A
1415,Providing first aid and assisting with emergency situations,Response A
1481,"Managing, training, and mentoring the Accommodation and Conference Assistant",Response B
1481,Ensuring the safety and well-being of conference and event participants,Response B
1482,Providing front-line accommodation support service and responding to welfare concerns during events,Response A
1482,"Reporting any welfare, health, or security concerns while on duty",Response A
1369,"Supporting the maintenance of academic quality and standards, ensuring compliance",Response B
