code ,Job Description ,label
1176,"Develop, test, and maintain web applications",Response B
1176,Collaborate with the team to design software solutions,Response B
1176,Occasionally mentor junior developers,Response B
1186,Plan and implement communication campaigns,Response B
1186,Support team members in creating content and delivering communications,Response B
1186,Provide occasional training on communications strategy,Response B
1202,Manage health and safety in the workplace,Response A
1202,Regularly train and develop safety officers and team members,Response A
1202,Provide ongoing coaching on safety regulations,Response A
1197,Lead the university’s Covid-19 response initiatives,Response A
1197,Train team members on Covid protocols,Response A
1197,Ensure the team follows health guidelines,Response A
1252,Lead the business intelligence team,Response A
1252,Train team members on data tools,Response A
1252,Guide staff in implementing data-driven insights,Response A
1137,Create multimedia content for student engagement,Response B
1137,Coordinate campaigns with other departments,Response B
1137,Occasionally train new staff on engagement strategies,Response B
1276,Manage the corporate systems team,Response A
1276,Provide training and mentoring on system use,Response A
1276,Oversee the development of corporate tools,Response A
1150,Supervise the facilities team,Response A
1150,Train staff on safety and operational standards,Response A
1150,Ensure smooth operations across multiple facilities,Response A
1269,Manage the student support services team,Response A
1269,Train staff on dealing with student welfare issues,Response A
1269,Lead the development of student support initiatives,Response A
1305,Develop sustainability strategies for the university,Response B
1305,Occasionally guide the team on environmental policies,Response B
1305,Lead specific sustainability initiatives,Response B
1255,Develop interactive data reports and dashboards,Response B
1255,Occasionally mentor team members on data analysis,Response B
1255,Support system configuration and upgrades,Response B
1231,Provide assessments for students' mental health,Response B
1231,Occasionally guide junior staff on mental health practices,Response B
1231,Manage a personal caseload of students,Response B
1143,Supervise the admissions team,Response A
1143,Train staff on admissions procedures,Response A
1143,Ensure compliance with admissions regulations,Response A
1181,Develop strategic plans for race equality,Response A
1181,Mentor staff on implementing strategic initiatives,Response A
1181,Lead meetings and ensure key objectives are met,Response A
1200,Lead the procurement team,Response A
1200,Provide regular training on procurement laws,Response A
1200,Oversee contract negotiations and supplier relationships,Response A
1292,Manage student placements in healthcare settings,Response A
1292,Train placement coordinators and students,Response A
1292,Oversee placement quality and compliance,Response A
1141,Coordinate corporate communication strategies,Response B
1141,Provide occasional guidance to junior team members,Response B
1141,Write and proofread communication materials,Response B
1178,Provide technical support for university systems,Response C
