Code,Job Description,label
1374,Provide support and guidance to Contractors engaged in Fire door campus works and act as a focal point ensuring a fully compliant Fire door install is delivered to the Estate.,Response B
1374,Maintain Fire door records on CAFM and in line with the Fire Safety Regulations (2023).,Response B
1374,To aid and advise other members of the University Estates & Facilities staff including porters and grounds staff as required.,Response B
1391,Advise on accessibility in the context of web development and take a leading role in ensuring accessibility legislation compliance.,Response A
1391,Gather user requirements and perform user testing for new and existing websites and applications.,Response A
1391,Create and document systems and processes pertaining to the web CMS.,Response A
1391,Line manage the Front-End Web Developer in deploying branded bespoke web features and website elements.,Response A
1391,"Liaise with external suppliers (such as the CMS vendor) to plan and manage system upgrades, support requests, and product enhancement suggestions.",Response A
1391,"Manage, support, and provide relevant training for the users of the Governance tool.",Response A
1391,Contribute to the development and communication of the University's digital governance framework.,Response A
1391,Share web support duties with other Web Services Team members.,Response A
1350,"Plan, manage, and deliver student recruitment events on-campus and virtually.",Response A
1350,"Provide advice, guidance, and training to academic staff, support staff, and Student Ambassadors in the delivery of student recruitment events.",Response A
1350,"Monitor, review, and report on the impact and effectiveness of all student recruitment events.",Response A
1350,Develop positive working relationships with internal colleagues to ensure successful delivery of student recruitment and outreach activities.,Response A
1350,Represent the student recruitment and outreach team at internal and external meetings.,Response A
1350,Collaborate with Marketing and Communications colleagues to ensure effective communications for various events and activities.,Response A
1397,Work with the Apprenticeships Operations Manager to develop and issue apprenticeship paperwork to apprentices and employers.,Response B
1397,Administer apprenticeship surveys and communicate feedback to the Academic Quality Office.,Response B
1397,Work with the e-learning manager to ensure all programme materials are in place and communicate changes to learners.,Response B
1397,"Respond to employer, apprentice, and work-based learner enquiries about apprenticeships, work-based learning, and commercial programmes.",Response B
1397,"Work with Programme Leaders to schedule teaching sessions and workshops, organizing assessments and room bookings.",Response B
1397,Work with the Relationship Managers to ensure key account information is up-to-date and track business referrals and opportunities.,Response B
1397,"Contribute to employer engagement and marketing tasks, including leading on social media activity.",Response B
1344,"Design, deliver, and evaluate key pre-16 schools and colleges engagement activities, including widening participation projects.",Response A
1344,"Deliver presentations, workshops, and other activities in schools and colleges to prospective students and their key influencers (e.g., parents, teachers, careers advisers).",Response A
1344,"Provide advice, guidance, and training to academic staff, support staff, and student ambassadors in the delivery of widening participation and student recruitment activities.",Response A
1344,Maintain and develop relationships with targeted schools and colleges to increase applications to the University.,Response A
1344,"Co-ordinate the University’s work with care leavers, including being the Single Point of Contact for applicants.",Response A
1344,"Collaborate with Marketing and Communications colleagues to ensure communications related to widening participation activities are audience-focused, timely, and effective.",Response A
1354,Provide a welcoming front-of-house reception service.,Response B
1354,"Provide advice and support to students, staff, and other customer inquiries/requests in person, on the phone, or by email related to mail and residential queries.",Response B
1354,"Liaise with external mail services (e.g., Royal Mail, Amazon, FedEx, UPS, DPD, etc.).",Response B
1354,Update the mail services web pages and online store.,Response B
1415,"Receive University visitors, inquiries, and telephone calls as required.",Response B
1415,Perform relief reception and telephone duties as required.,Response B
1415,"Act in response to the activation of alarms on campus, summon appropriate emergency services, and act as the first point of contact for emergency services.",Response B
1415,Ensure that only authorized persons are present on University grounds and request unauthorized persons to leave.,Response B
1415,Complete incident reports and other documentation as required.,Response B
1415,"Issue keys, access control passes, network passwords, and site Health & Safety information to individuals.",Response B
1342,Liaise with conference and group organizers to identify and match customer requirements.,Response A
1342,"Administer conference and bedroom bookings, ensuring accurate and up-to-date information.",Response A
1342,Brief conference organizers and presenters on the use of University media and computing equipment.,Response A
1342,Facilitate and provide technical assistance for online conferences.,Response A
1342,"Manage, train, and mentor the Accommodation and Conference Assistant and temporary conference assistants.",Response A
1342,"Coordinate programs for key events, including liaising with academics, professional services staff, local schools, and various service providers.",Response A
1342,"Provide data, reports, and information for various managers within the department.",Response A
1342,"Develop, review, and maintain policies related to Conferences & Events.",Response A
1341,"Provide first-line accommodation support via telephone, emails, face-to-face, and online inquiries.",Response A
1341,Support conference organizers at events to ensure smooth operation and meet expected standards.,Response B
1341,Provide a welcoming front-of-house reception service.,Response B
1341,"Provide technical assistance and support for conference and meeting bookings, including online meetings.",Response B
1341,"Deliver University mail services, ensuring proper sorting, recording, and notification to recipients.",Response B
1341,Take payments and maintain basic financial records.,Response B
1341,"Provide effective responses to customer complaints and disputes, escalating when necessary.",Response B
1341,"Report welfare, health, security, or maintenance concerns while on duty.",Response B
1341,Maintain accurate records on conference and accommodation booking systems and prepare statistical/management information when required.,Response B
1369,Support the maintenance and publication of definitive programme and module documentation.,Response B
1369,"Liaise with colleagues across various departments (e.g., Marketing, Communications, Recruitment, Student Administration) to ensure accurate and up-to-date information.",Response B
1369,"Maintain the register of Professional, Statutory, and Regulatory Body accreditation arrangements and reviews, and publish this information on the University’s website.",Response B
1369,"Assist with the maintenance of academic policies, ensuring effective communication of changes.",Response B
1369,Maintain the Academic Quality web page (intranet) and relevant information on external web pages.,Response B
1369,"Represent the directorate at Data Champions meetings and the University’s SITS User Group, contributing effectively to these groups.",Response B
1369,"Provide administrative support for academic approval events, periodic reviews, and annual academic reviews, liaising with internal and external contacts as required.",Response B
1369,Respond to requests for information from colleagues by retrieving and presenting data in an appropriate format.,Response B
1414,"Collaborate with key stakeholders to co-create, implement, and monitor policies and practices that foster an accessible, healthy, and inclusive workplace.",Response A
1414,"Provide guidance and support to managers and supervisors in accommodating employees with disabilities, including reasonable adjustments and assistive technologies.",Response A
