Code,Code,Label
1374,Provide all forms of Joinery duties and tasks in which you are competent within the University Estate possessing at least five years trade experience. Working with the team across various other construction trades.,Response C
1374,"Manage the fire door programme focusing on the Inspection, maintenance (ART accepted repair techniques) and repair to achieve a compliant campus. This will involve a good theoretical knowledge of the standards and regulations.",Response C
1374,"Responsible for the Fire door dashboard, upkeep and maintenance of the system. To provide information on defects and repair (analyzing reports), accepted repair techniques, and input for Projects.",Response C
1374,Provide support and guidance to Contractors engaged in Fire door campus works and act as a focal point ensuring a fully compliant Fire door install is delivered to the Estate.,Response C
1374,Aid and advise the other members of the University Estates & Facilities staff including porters and grounds staff as required.,Response C
1374,"Responsible for continued professional development ensuring the post holder is conversant and aware of current regulations, legislation, and approved industry standards to their own job role. You will have a basic awareness of Asbestos, CDM, health and safety regulations.",Response C
1391,"Develop and deploy bespoke code (HTML, SCSS, PHP, JQuery, JSON, JavaScript, etc.).",Response C
1391,Advise on accessibility in the context of web development,Response C
1391,Line manage the Front-End Web Developer…,Response B
1391,Work collaboratively with the Web Services Manager and other members,Response B
1391,Ongoing development of own web and digital skills and knowledge…,Response C
1391,Research and investigate with analysis any potential new in-house or bespoke web technologies..,Response C
1350,"To have oversight, and management, of on-campus, off-campus, and virtual student recruitment events.",Response C
1350,"To plan, manage and deliver student recruitment events based on-campus and virtually..",Response C
1350,"	To provide advice, guidance and training to academic staff, support staff and Student Ambassadors…",Response C
1350,"	To monitor, review and report on the impact and effectiveness of all student recruitment events…",Response B
1344,"To lead on the planning, preparation and delivery of the University’s widening participation initiatives",Response C
1344,"To design, deliver and evaluate key pre-16 schools and colleges engagement activities...",Response C
1344,"To design and deliver presentations, workshops and other activities in schools and colleges…",Response C
1344,To undertake project work in support of widening participation and the regional widening participation partnership…,Response C
1344,Establish a training model for the University for monitoring and evaluation of widening participation initiatives relating to the APP.,Response B
1344,"To provide advice, guidance and training to academic staff, support staff and student ambassadors…",Response C
1342,"To manage, train and mentor the Accommodation and Conference Assistant and any temporary conference assistants.",Response C
1414,"Support the Head of Health and Safety in the development and implementation policies and procedures to ensure a fair, equitable and transparent approach to reasonable adjustments and accessibility.",Response C
1414,"	Agree objectives and milestones related to reasonable adjustments, accessibility, equity and inclusion, to help drive improvements across the University and measure its impact and return on investment",Response C
1414,Collaborate with Head of Health and Safety and key stakeholders to ensure compliance with Workplace and disability-related legislation and regulations.,Response C
1414,"Collaborate with key stakeholders to co-create, implement and monitor policies and practices that foster an accessible, healthy and inclusive workplace.",Response C
1414,"Provide guidance and support to managers and supervisors in accommodating employees with disabilities, including reasonable adjustments and assistive technologies. Build knowledge to build capability and confidence amongst managers and supervisors in promoting and supporting employees.",Response C
1414,"Conduct assessments, surveys and audits to identify barriers and areas for improvement related to accessibility in the workplace",Response C
1414,"To monitor and evaluate the effectiveness of reasonable adjustments and any initiatives undertaken by the university, recommending improvements based on feedback and data.",Response C
1414,To monitor and evaluate the effectiveness of mandatory training to establish a supportive culture towards reasonable adjustments and development of knowledge and understanding of the legal responsibilities across the University.,Response C
1414,"Collaborating with line managers and employees as a point of contact for physical and/or mental health conditions, that require reasonable adjustments in the workplace, undertaking these assessments, providing information, resources, training, and assistance as needed.",Response C
1414,"Working closely with Office for Institutional Equity and People and Culture teams, to facilitate workshops and deliver training sessions on reasonable adjustments, equity and inclusion in the workplace.",Response C
1458,"Provide support, guidance, and leadership of staff within their line management, ensuring regular meetings, one to ones, performance and development reviews are completed.",Response C
